Wort,Anzahl
0,605
0.026,2
0.240,2
0.2em,6
0.308,2
0.3em,7
0.4em,8
0.5em,12
0.6em,1
0.8em,2
00,1
000,29
00003b,1
000222,1
00090e,2
002d4a,1
002f64,1
0036d4,1
003b6f,1
006499,1
0065,1
006697,2
010057,1
011,1
01703b,2
01zm7.75,1
02,4
02.1v,1
022,1
02c,1
03,5
03.02,1
034,1
038,2
039,3
03a2.76,1
03c,2
04,6
05,1
05l,1
06,12
06.03,1
062,1
069,5
06a1,1
06c,2
06c13.52,1
07,3
07.1v,1
07_,2
07v,1
08,7
082e45,2
08a298.92,1
09,13
09a1.01,1
09c3.54,1
0_,1
0a17.32,1
0a41.39,1
0a6997,1
0a7.75,1
0b,1
0c,7
0c0,2
0c11.44,1
0c135.42.46,1
0c296.44,1
0c5178,1
0f,1
0f3119,2
0g,1
0h,2
0h30v45h,1
0h56v56h0z,1
0h5l,1
0h6v1.8h,1
0h84v84h0z,1
0h90v45h,1
0j,1
0l,3
0l300,1
0px,2
0tffind,1
0u,1
0v,2
0v14.02h5.43v,2
0v14.02h5.44v,1
0v77.15h68.57v12.57c,1
0x,1
0y,1
0z,4
1,228
1,000,1
1,000,000,1
1.0,5
1.01,3
1.03,2
1.03655,1
1.04,5
1.04.3,2
1.04.7l,1
1.04.84v1.97l,1
1.04v70.1c0,1
1.04zm1.6.14c,1
1.05,3
1.07,2
1.07l,1
1.07z,1
1.08,1
1.1,7
1.1.56.67.83,1
1.11,3
1.12.4,1
1.12.45.45,1
1.14,9
1.14.93,1
1.15,3
1.15.22c,1
1.16,3
1.18.66,1
1.2,6
1.2.31,1
1.21,2
1.22,4
1.22l,1
1.22v,1
1.23,4
1.24,2
1.24.82.7,1
1.25,8
1.25c0,1
1.26,2
1.28,1
1.29,2
1.2s,5
1.2v31c0,4
1.3,5
1.31z,1
1.32z,1
1.33,2
1.33.0,1
1.34,4
1.34.23,1
1.35,5
1.35.49.49,1
1.35h18.1z,1
1.35l,1
1.36,4
1.4,10
1.4.0,1
1.4.9,1
1.41,1
1.43,3
1.43.2c,1
1.43.72,1
1.44l,1
1.45,2
1.46,2
1.47,4
1.48,1
1.48.27,1
1.4em,1
1.4h0v1.4z,1
1.5,4
1.5.5,1
1.5.62,1
1.53,1
1.53l23.13,1
1.54,2
1.55,2
1.55l10.49,1
1.56,1
1.57,6
1.5c,1
1.5c2,1
1.5h1v1.5h1.9c,1
1.5x,19
1.5x.png,2
1.6,4
1.63,1
1.64a323.85,1
1.65,1
1.65.22,1
1.66,2
1.66l,1
1.66zm472.75,1
1.67,2
1.67.1,1
1.69,2
1.6em,1
1.7,6
1.75,1
1.76,3
1.76.21,1
1.76l15.7,1
1.77,1
1.77l,1
1.77v,1
1.78,3
1.7em,1
1.7zm,1
1.8,3
1.82,1
1.85,3
1.86,2
1.87,2
1.88,4
1.89,2
1.8h13.8v1.8h21.4zm13.8,1
1.8h13.8v1.8z,1
1.8h13.8v1.8zm0,1
1.8l,1
1.8zm0,1
1.9,4
1.9.62,1
1.92,2
1.93,1
1.93.6,1
1.94a11.43,1
1.96,1
1.97,2
1.97c0,1
1.98,5
1.98c0,1
10,11
10,000,1
10.000,2
10.05,2
10.05.85,1
10.07,1
10.09,1
10.1,1
10.12,4
10.14,1
10.15.59,1
10.16,1
10.23,1
10.26,1
10.29,1
10.3,2
10.3.2,1
10.3.2l,1
10.32,1
10.34,1
10.35,3
10.37,1
10.3c,1
10.4,4
10.41,1
10.44,1
10.45,1
10.49,1
10.4v11.5c11.85,1
10.5,3
10.52,1
10.53,1
10.55,1
10.56.68,1
10.57,1
10.5m14.5,1
10.6,1
10.62,1
10.65,2
10.66,1
10.67,1
10.68,2
10.69.97,1
10.7.2,1
10.7.2l,1
10.72.2,1
10.73,1
10.75,1
10.76,1
10.78,1
10.8,2
10.82,4
10.86,1
10.86a16.08,1
10.88,1
10.91,1
10.92,4
10.95,1
100,15
100,000,2
100.00,4
100.11,1
100.95,1
1000,2
1000000,2
1000px,1
100px,1
100s219.81,1
101,3
101.55,1
102.14,1
102.19z,1
102.2c5.38,1
102.37,1
1024,2
1026,2
102a410,1
103,1
103.54c5.27,1
103.6c5.28,1
103.7,1
103.9l59,1
104.27c3.64,1
104.3c2.09,1
104.81,1
1040px,1
105.15h26.21z,1
105.72a766.28,1
1050,1
1052,1
106.25,1
106392,1
107.03,1
107.22,1
107.34,1
107.63,1
109.5,1
109.84a221.99,1
109.84c10.67,1
109.84c5.88,1
109.84l1.91,1
109.85,1
10px,1
10v64a6.34,1
11,11
11.02,1
11.02.2,1
11.02.2l,1
11.03.2,3
